id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
823125,2010-12-21,terca,14:00:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,sol,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
823249,2010-12-21,terca,17:00:00,rj,101,322,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,simples,curva,urbano,2010,2,0,0,0,1,1,0,2,,,,,
823631,2010-12-22,quarta,08:00:00,rj,101,333,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,crescente,nublado,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
823876,2010-12-22,quarta,11:00:00,rj,101,322,niteroi,outras,colisao lateral,sem vitimas,amanhecer,crescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
823896,2010-12-22,quarta,14:11:00,rj,101,326,niteroi,outras,colisao traseira,com vitimas feridas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,2,0,1,0,1,0,1,2,,,,,
823954,2010-12-22,quarta,16:12:00,rj,101,333,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
823966,2010-12-18,sabado,17:25:00,rj,101,327,niteroi,outras,colisao lateral,sem vitimas,pleno dia,crescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
824113,2010-11-11,quinta,15:00:00,rj,101,323,niteroi,outras,colisao lateral,sem vitimas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
824198,2010-12-22,quarta,20:40:00,rj,101,322,niteroi,falta de atencao,colisao lateral,sem vitimas,plena noite,crescente,chuva,dupla,curva,urbano,2010,2,0,0,0,1,1,0,2,,,,,
824515,2010-12-23,quinta,11:00:00,rj,101,321,niteroi,outras,colisao traseira,sem vitimas,pleno dia,crescente,chuva,dupla,reta,urbano,2010,2,0,0,0,1,1,0,2,,,,,
824541,2010-12-23,quinta,12:50:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
824695,2010-12-23,quinta,16:24:00,rj,101,322,niteroi,falta de atencao,atropelamento de pessoa,com vitimas feridas,pleno dia,crescente,nublado,simples,reta,urbano,2010,3,0,1,0,2,0,1,1,,,,,
824728,2010-12-23,quinta,16:25:00,rj,101,333,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,crescente,nublado,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
824787,2010-12-23,quinta,18:25:00,rj,101,322,rio de janeiro,outras,colisao lateral,sem vitimas,anoitecer,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
824888,2010-12-23,quinta,18:55:00,rj,101,329,rio de janeiro,falta de atencao,colisao traseira,sem vitimas,anoitecer,decrescente,chuva,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
824986,2010-12-23,quinta,19:16:00,rj,101,332,rio de janeiro,outras,colisao traseira,sem vitimas,plena noite,crescente,chuva,dupla,reta,urbano,2010,3,0,0,0,3,0,0,2,,,,,
825171,2010-12-20,segunda,16:00:00,rj,101,322,niteroi,falta de atencao,colisao traseira,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
825177,2010-12-21,terca,01:30:00,rj,101,329,niteroi,falta de atencao,colisao traseira,com vitimas feridas,plena noite,decrescente,nublado,dupla,reta,urbano,2010,2,0,1,0,1,0,1,2,,,,,
825235,2010-12-20,segunda,13:30:00,rj,101,322,niteroi,outras,capotamento,com vitimas feridas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,3,0,3,0,0,0,3,2,,,,,
825276,2010-12-22,quarta,17:00:00,rj,101,325,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,4,0,0,0,4,0,0,4,,,,,
825285,2010-12-22,quarta,23:15:00,rj,101,322,niteroi,dormindo,colisao traseira,sem vitimas,plena noite,decrescente,chuva,dupla,reta,urbano,2010,4,0,0,0,4,0,0,4,,,,,
826419,2010-12-26,domingo,07:40:00,rj,101,323,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,1,1,0,2,,,,,
827006,2010-12-26,domingo,21:42:00,rj,101,331,rio de janeiro,outras,colisao traseira,sem vitimas,plena noite,crescente,chuva,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
827514,2010-12-27,segunda,16:15:00,rj,101,321,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
827804,2010-12-27,segunda,22:05:00,rj,101,331,rio de janeiro,outras,colisao traseira,sem vitimas,plena noite,crescente,chuva,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
827890,2010-12-20,segunda,21:00:00,rj,101,322,rio de janeiro,outras,colisao traseira,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
828393,2010-12-28,terca,21:00:00,rj,101,327,niteroi,outras,colisao lateral,sem vitimas,plena noite,crescente,chuva,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
828437,2010-12-28,terca,21:50:00,rj,101,322,niteroi,outras,colisao lateral,sem vitimas,plena noite,decrescente,chuva,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
828448,2010-12-28,terca,22:40:00,rj,101,321,niteroi,outras,colisao traseira,sem vitimas,plena noite,crescente,chuva,dupla,curva,urbano,2010,2,0,0,0,2,0,0,2,,,,,
828536,2010-12-29,quarta,02:55:00,rj,101,330,rio de janeiro,defeito mecanico em veiculo,colisao com objeto movel,sem vitimas,plena noite,crescente,nublado,multipla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
828681,2010-12-29,quarta,10:31:00,rj,101,324,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,1,1,0,2,,,,,
828687,2010-12-29,quarta,09:35:00,rj,101,323,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,4,0,0,0,4,0,0,2,,,,,
828856,2010-12-29,quarta,11:00:00,rj,101,323,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,pleno dia,decrescente,nublado,dupla,reta,urbano,2010,3,0,0,0,1,2,0,3,,,,,
828900,2010-12-29,quarta,18:10:00,rj,101,324,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
828996,2010-12-29,quarta,20:40:00,rj,101,323,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
829236,2010-12-30,quinta,08:30:00,rj,101,330,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,crescente,chuva,dupla,reta,urbano,2010,2,0,0,0,1,1,0,2,,,,,
829518,2010-12-30,quinta,17:09:00,rj,101,332,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,decrescente,chuva,multipla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
829573,2010-12-30,quinta,19:20:00,rj,101,322,niteroi,outras,colisao lateral,sem vitimas,plena noite,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,1,1,0,2,,,,,
829723,2010-12-30,quinta,23:40:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
829742,2010-12-31,sexta,00:20:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,nublado,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
829745,2010-12-30,quinta,21:20:00,rj,101,327,rio de janeiro,outras,colisao traseira,sem vitimas,plena noite,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,1,1,0,2,,,,,
829815,2010-12-31,sexta,05:10:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,amanhecer,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
